box_id,store_code,store_name,status,sorted_qty,created_by,created_on
006-A-06,006,006 - Alhfof - Almoosa - MAATC,Open,3,SYSADMIN,Mon Sep 14 2026 11:
006-A-02,006,006 - Alhfof - Almoosa - MAATC,Closed,2,picker11@almoosa.com.sa,Wed Sep 09 2026 17:
007-S-1,007,007 - Buridah - Almoosa - MAATC,Closed,190,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
007-A-03,007,007 - Buridah - Almoosa - MAATC,Closed,87,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
007-S-11,007,007 - Buridah - Almoosa - MAATC,Closed,80,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 17:
007-S-15,007,007 - Buridah - Almoosa - MAATC,Closed,77,picker6@almoosa.com.sa,Wed Sep 09 2026 10:
007-S-14,007,007 - Buridah - Almoosa - MAATC,Closed,74,picker6@almoosa.com.sa,Sat Sep 12 2026 08:
007-A-02,007,007 - Buridah - Almoosa - MAATC,Closed,62,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
007-J-01,007,007 - Buridah - Almoosa - MAATC,Closed,62,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
007-S-19,007,007 - Buridah - Almoosa - MAATC,Closed,46,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
007-J-02,007,007 - Buridah - Almoosa - MAATC,Closed,44,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
007-U-21,007,007 - Buridah - Almoosa - MAATC,Closed,41,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 08:
007-J-03,007,007 - Buridah - Almoosa - MAATC,Closed,35,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
007-S-6,007,007 - Buridah - Almoosa - MAATC,Open,21,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
007-U-22,007,007 - Buridah - Almoosa - MAATC,Closed,20,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
007-S-16,007,007 - Buridah - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 15:
007-S-17,007,007 - Buridah - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 15:
007-S-18,007,007 - Buridah - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 16:
007-A-01,007,007 - Buridah - Almoosa - MAATC,Closed,8,picker11@almoosa.com.sa,Wed Sep 09 2026 13:
007-A-06,007,007 - Buridah - Almoosa - MAATC,Open,3,SYSADMIN,Mon Sep 14 2026 11:
007-A-05,007,007 - Buridah - Almoosa - MAATC,Open,0,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 14:
011-U-1,011,011 - Hail - Almoosa - MAATC,Closed,187,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
011-A-03,011,011 - Hail - Almoosa - MAATC,Closed,86,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
011-U-6,011,011 - Hail - Almoosa - MAATC,Closed,80,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 17:
011-U-7,011,011 - Hail - Almoosa - MAATC,Closed,80,picker6@almoosa.com.sa,Wed Sep 09 2026 11:
011-U-8,011,011 - Hail - Almoosa - MAATC,Closed,76,picker6@almoosa.com.sa,Sat Sep 12 2026 08:
011-A-02,011,011 - Hail - Almoosa - MAATC,Closed,63,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
011-J-01,011,011 - Hail - Almoosa - MAATC,Closed,60,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
011-J-02,011,011 - Hail - Almoosa - MAATC,Closed,48,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
011-U-21,011,011 - Hail - Almoosa - MAATC,Closed,47,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 08:
011-U-19,011,011 - Hail - Almoosa - MAATC,Closed,46,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
011-J-03,011,011 - Hail - Almoosa - MAATC,Closed,35,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
011-U-2,011,011 - Hail - Almoosa - MAATC,Open,21,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
011-U-22,011,011 - Hail - Almoosa - MAATC,Closed,21,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
011-U-16,011,011 - Hail - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 13:
011-U-17,011,011 - Hail - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 16:
011-U-18,011,011 - Hail - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
011-A-01,011,011 - Hail - Almoosa - MAATC,Closed,8,picker11@almoosa.com.sa,Wed Sep 09 2026 13:
011-A-06,011,011 - Hail - Almoosa - MAATC,Open,4,SYSADMIN,Mon Sep 14 2026 11:
011-A-05,011,011 - Hail - Almoosa - MAATC,Open,0,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 14:
019-S-1,019,019 - Geel Alnaka - MAATC,Closed,211,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
019-A-03,019,019 - Geel Alnaka - MAATC,Closed,93,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
019-S-18,019,019 - Geel Alnaka - MAATC,Closed,85,picker6@almoosa.com.sa,Thu Sep 10 2026 10:
019-S-20,019,019 - Geel Alnaka - MAATC,Closed,83,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 17:
019-A-02,019,019 - Geel Alnaka - MAATC,Closed,78,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
019-J-01,019,019 - Geel Alnaka - MAATC,Closed,76,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
019-S-19,019,019 - Geel Alnaka - MAATC,Closed,76,picker6@almoosa.com.sa,Wed Sep 09 2026 08:
019-J-02,019,019 - Geel Alnaka - MAATC,Closed,72,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
019-S-17,019,019 - Geel Alnaka - MAATC,Closed,72,picker6@almoosa.com.sa,Sat Sep 12 2026 11:
019-U-44,019,019 - Geel Alnaka - MAATC,Closed,64,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
019-U-45,019,019 - Geel Alnaka - MAATC,Closed,55,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 08:
019-J-03,019,019 - Geel Alnaka - MAATC,Closed,41,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
019-U-46,019,019 - Geel Alnaka - MAATC,Closed,29,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
019-S-11,019,019 - Geel Alnaka - MAATC,Open,23,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
019-S-10,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 10:
019-S-6,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 09:
019-S-7,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 10:
019-S-8,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 10:
019-S-9,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 10:
019-U-21,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 10:
019-U-23,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 11:
019-U-24,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 11:
019-U-25,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 13:
019-U-26,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 13:
019-U-27,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 13:
019-U-28,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 13:
019-U-29,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 13:
019-U-30,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 13:
019-U-31,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 14:
019-U-32,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 14:
019-U-33,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 14:
019-U-35,019,019 - Geel Alnaka - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 14:
019-A-01,019,019 - Geel Alnaka - MAATC,Closed,8,picker11@almoosa.com.sa,Wed Sep 09 2026 11:
019-A-05,019,019 - Geel Alnaka - MAATC,Open,4,SYSADMIN,Mon Sep 14 2026 11:
019-A-06,019,019 - Geel Alnaka - MAATC,Open,0,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 14:
028-S-16,028,028 - North of Buridah Almoosa - MAATC,Closed,186,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
028-S-12,028,028 - North of Buridah Almoosa - MAATC,Closed,84,picker6@almoosa.com.sa,Wed Sep 09 2026 11:
028-S-11,028,028 - North of Buridah Almoosa - MAATC,Closed,81,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 17:
028-A-03,028,028 - North of Buridah Almoosa - MAATC,Closed,77,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
028-S-13,028,028 - North of Buridah Almoosa - MAATC,Closed,76,picker6@almoosa.com.sa,Sat Sep 12 2026 08:
028-J-01,028,028 - North of Buridah Almoosa - MAATC,Closed,62,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
028-A-02,028,028 - North of Buridah Almoosa - MAATC,Closed,58,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
028-U-40,028,028 - North of Buridah Almoosa - MAATC,Closed,49,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
028-U-39,028,028 - North of Buridah Almoosa - MAATC,Closed,46,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 08:
028-J-02,028,028 - North of Buridah Almoosa - MAATC,Closed,44,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
028-J-03,028,028 - North of Buridah Almoosa - MAATC,Closed,39,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
028-U-38,028,028 - North of Buridah Almoosa - MAATC,Closed,28,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
028-S-1,028,028 - North of Buridah Almoosa - MAATC,Open,21,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
028-S-6,028,028 - North of Buridah Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
028-S-7,028,028 - North of Buridah Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
028-S-8,028,028 - North of Buridah Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 09:
028-A-01,028,028 - North of Buridah Almoosa - MAATC,Closed,8,picker11@almoosa.com.sa,Wed Sep 09 2026 11:
028-A-06,028,028 - North of Buridah Almoosa - MAATC,Open,4,SYSADMIN,Mon Sep 14 2026 11:
028-A-05,028,028 - North of Buridah Almoosa - MAATC,Open,0,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 14:
031-U-1,031,031 - Al Mousa Tabuk - MAATC,Closed,156,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
031-U-6,031,031 - Al Mousa Tabuk - MAATC,Closed,84,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 17:
031-U-7,031,031 - Al Mousa Tabuk - MAATC,Closed,84,picker6@almoosa.com.sa,Wed Sep 09 2026 16:
031-A-03,031,031 - Al Mousa Tabuk - MAATC,Closed,74,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
031-J-01,031,031 - Al Mousa Tabuk - MAATC,Closed,58,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
031-A-02,031,031 - Al Mousa Tabuk - MAATC,Closed,56,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
031-U-8,031,031 - Al Mousa Tabuk - MAATC,Closed,51,picker6@almoosa.com.sa,Sat Sep 12 2026 11:
031-U-19,031,031 - Al Mousa Tabuk - MAATC,Closed,47,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
031-U-21,031,031 - Al Mousa Tabuk - MAATC,Closed,43,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 08:
031-J-02,031,031 - Al Mousa Tabuk - MAATC,Closed,42,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
031-J-03,031,031 - Al Mousa Tabuk - MAATC,Closed,33,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
031-U-12,031,031 - Al Mousa Tabuk - MAATC,Open,21,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
031-U-22,031,031 - Al Mousa Tabuk - MAATC,Closed,21,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
031-U-16,031,031 - Al Mousa Tabuk - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
031-U-17,031,031 - Al Mousa Tabuk - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
031-U-18,031,031 - Al Mousa Tabuk - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 09:
031-A-01,031,031 - Al Mousa Tabuk - MAATC,Closed,8,picker11@almoosa.com.sa,Wed Sep 09 2026 11:
031-A-06,031,031 - Al Mousa Tabuk - MAATC,Open,4,SYSADMIN,Mon Sep 14 2026 11:
031-A-05,031,031 - Al Mousa Tabuk - MAATC,Open,0,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 14:
033SAMPLE-03,033,033 - Sample Location - MAATC,Closed,51,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 18:
033SAMPLE-02,033,033 - Sample Location - MAATC,Closed,29,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
033SAPLE-001,033,033 - Sample Location - MAATC,Closed,21,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 10:
033SAMPLE19,033,033 - Sample Location - MAATC,Closed,13,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
33SAMPLE26,033,033 - Sample Location - MAATC,Closed,13,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 17:
033SAMPLE,033,033 - Sample Location - MAATC,Closed,5,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 09:
033SMAPLE7,033,033 - Sample Location - MAATC,Closed,5,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
033SAMPLE12,033,033 - Sample Location - MAATC,Open,3,PICKER4@ALMOOSA.COM.SA,Sun Sep 13 2026 08:
033SAMPLE006,033,033 - Sample Location - MAATC,Closed,0,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
033SAMPLE55,033,033 - Sample Location - MAATC,Open,0,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 11:
034-U-2,034,034 - Lacaly Jeddah - MAATC,Closed,120,PICKER4@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
034-A-03,034,034 - Lacaly Jeddah - MAATC,Closed,85,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
034-U-11,034,034 - Lacaly Jeddah - MAATC,Closed,83,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 17:
034-U-14,034,034 - Lacaly Jeddah - MAATC,Closed,81,picker6@almoosa.com.sa,Sat Sep 12 2026 11:
034-U-12,034,034 - Lacaly Jeddah - MAATC,Closed,80,picker6@almoosa.com.sa,Wed Sep 09 2026 08:
034-U-13,034,034 - Lacaly Jeddah - MAATC,Closed,79,picker6@almoosa.com.sa,Thu Sep 10 2026 10:
034-A-02,034,034 - Lacaly Jeddah - MAATC,Closed,77,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
034-J-02,034,034 - Lacaly Jeddah - MAATC,Closed,75,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
034-J-01,034,034 - Lacaly Jeddah - MAATC,Closed,70,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
034-U-16,034,034 - Lacaly Jeddah - MAATC,Closed,65,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 13:
034-J-03,034,034 - Lacaly Jeddah - MAATC,Closed,51,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 09:
034-U-1,034,034 - Lacaly Jeddah - MAATC,Closed,43,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
034-J-04,034,034 - Lacaly Jeddah - MAATC,Closed,37,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
034-J-05,034,034 - Lacaly Jeddah - MAATC,Closed,31,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
034-U-17,034,034 - Lacaly Jeddah - MAATC,Open,24,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
034-U-10,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 16:
034-U-21,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
034-U-22,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
034-U-23,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
034-U-25,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 08:
034-U-26,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 08:
034-U-27,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 08:
034-U-28,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 08:
034-U-29,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 08:
034-U-30,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 08:
034-U-31,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 09:
034-U-32,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 09:
034-U-33,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 09:
034-U-34,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 09:
034-U-35,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
034-U-36,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
034-U-37,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
034-U-38,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
034-U-39,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
034-U-40,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
034-U-6,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 14:
034-U-7,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 15:
034-U-8,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 15:
034-U-9,034,034 - Lacaly Jeddah - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 16:
034-U-24,034,034 - Lacaly Jeddah - MAATC,Closed,11,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
034-A-01,034,034 - Lacaly Jeddah - MAATC,Closed,8,picker11@almoosa.com.sa,Wed Sep 09 2026 11:
034-A-06,034,034 - Lacaly Jeddah - MAATC,Open,4,SYSADMIN,Mon Sep 14 2026 11:
034-A-05,034,034 - Lacaly Jeddah - MAATC,Open,0,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 14:
035-U-15,035,035 - Lacali - MAATC,Closed,218,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
035-A-03,035,035 - Lacali - MAATC,Closed,88,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
035-U-1,035,035 - Lacali - MAATC,Closed,84,picker6@almoosa.com.sa,Sat Sep 12 2026 11:
035-U-5,035,035 - Lacali - MAATC,Closed,81,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 17:
035-U-4,035,035 - Lacali - MAATC,Closed,79,picker6@almoosa.com.sa,Wed Sep 09 2026 08:
035-U-3,035,035 - Lacali - MAATC,Closed,76,picker6@almoosa.com.sa,Thu Sep 10 2026 10:
035-A-02,035,035 - Lacali - MAATC,Closed,73,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
035-J-02,035,035 - Lacali - MAATC,Closed,70,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
035-J-01,035,035 - Lacali - MAATC,Closed,68,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 08:
035-U-43,035,035 - Lacali - MAATC,Closed,64,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
035-U-47,035,035 - Lacali - MAATC,Closed,52,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 09:
035-J-03,035,035 - Lacali - MAATC,Closed,33,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
035-U-46,035,035 - Lacali - MAATC,Closed,31,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
035-U-6,035,035 - Lacali - MAATC,Open,23,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 18:
035-U-16,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 16:
035-U-17,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
035-U-18,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 18:
035-U-19,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 13:
035-U-20,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 13:
035-U-21,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 11:
035-U-22,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 11:
035-U-23,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 13:
035-U-24,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 14:
035-U-25,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 14:
035-U-26,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 14:
035-U-27,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 15:
035-U-28,035,035 - Lacali - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 16:
